"Scenario","n","Method","Parameter","Bias","Variance","MSE"
"Scenario 1",20,"MoM","k",0.215202869819191,0.224139848421581,0.270452123599997
"Scenario 1",20,"MLE","k",0.144554003310438,0.136447059286277,0.157342919159351
"Scenario 1",20,"MoM","theta",-0.102225688258562,0.77489854112813,0.785348632468067
"Scenario 1",20,"MLE","theta",-0.0972947085341695,0.468602082315921,0.47806834262467
"Scenario 1",50,"MoM","k",0.0938362399448114,0.0788777482020719,0.0876829881290522
"Scenario 1",50,"MLE","k",0.0483638614813759,0.0380093940332322,0.0403484571306219
"Scenario 1",50,"MoM","theta",-0.05271476899196,0.352797177140477,0.355576024010353
"Scenario 1",50,"MLE","theta",-0.035595471695137,0.202609480127007,0.203876517732206
"Scenario 1",100,"MoM","k",0.0434992513542645,0.040342389426801,0.0422345742951825
"Scenario 1",100,"MLE","k",0.0254118062493105,0.0175224134271632,0.0181681733240157
"Scenario 1",100,"MoM","theta",-0.00918382553671782,0.198196214147661,0.19828055679915
"Scenario 1",100,"MLE","theta",-0.0175716650470941,0.0979846382664667,0.0982934016789939
"Scenario 2",20,"MoM","k",0.655795564658192,4.65335659140541,5.08342441403077
"Scenario 2",20,"MLE","k",0.83939241055101,4.62310352368288,5.32768314257351
"Scenario 2",20,"MoM","theta",0.0017254609773325,0.137015494488874,0.137018471704459
"Scenario 2",20,"MLE","theta",-0.043666182671005,0.104490952929765,0.106397688438823
"Scenario 2",50,"MoM","k",0.216157080229827,1.27211405763652,1.31883794097
"Scenario 2",50,"MLE","k",0.260925908648596,1.08133630883994,1.14941863864403
"Scenario 2",50,"MoM","theta",0.00116607965845894,0.0486976638343502,0.0486990235761201
"Scenario 2",50,"MLE","theta",-0.0149012469965767,0.0391594129769925,0.0393814601390455
"Scenario 2",100,"MoM","k",0.118636096429606,0.651979427546556,0.66605395092261
"Scenario 2",100,"MLE","k",0.13749469094671,0.53495616555225,0.553860955590781
"Scenario 2",100,"MoM","theta",0.00112769834619963,0.0259918248900294,0.0259930965935894
"Scenario 2",100,"MLE","theta",-0.00726019789604093,0.0205797727905209,0.0206324832640106
